道本语,正字,释义-toki_ante专用标识

mi,吾我,我，我们
sina,你尔,你
ona,他,他，她，他们，它
li,者兮,（置于主语和动词/形容词之间）
pona,良好,好的，简单的，改进，修复
ike,坏歹,坏的，邪恶的，复杂的，不必要的
suli,大,大的，伟大的，重要的，增长
lili,小,小的，少的，年轻的，缩小
kili,果蔬,水果，蔬菜，蘑菇
soweli,兽,陆地哺乳动物，动物

ala,无不非否,没有，不，零
ali,凡,所有，一切，宇宙
ale,凡,所有，一切，宇宙
utala,战斗,打架，战斗，挑战
wawa,力,强壮的，强大的
suwi,甘,甜的，可爱的，迷人的
jan,人,人，人类
mama,亲,父母，祖先，创造者，起源
meli,女,女人，女性，妻子
mije,男,男人，男性，丈夫
moku,食,食物，吃

e,把将,(置于宾语之前)
ijo,什物,事物，物体
ilo,具,工具，机器，设备
lipu,页,书籍，文件，纸张
lukin,看见,眼睛，看，寻找
olin,爱,爱，怜悯，情感
pali,工作做造,做，工作，制造，劳动
pana,出予,给予，发送，释放
telo,水,水，液体，洗涤，清理
tomo,房屋室,家，房间，结构

jo,有,拥有/携带/含有/持有
kala,鱼,鱼，海洋生物
kasi,草木,植物，草，草药，叶子
pipi,虫,昆虫，虫子
sitelen,图书,符号，图像，书写，绘画
toki,语言话,语言，讲话，溝通
waso,鸟,鸟，飞行生物
ma,地,地球，土地，户外，领土
kiwen,石硬,坚硬的物体，金属，石头，固体
ko,膏,粉末，粘土，半固体

ante,异,不同的，有变化的，改变
awen,待,保持，停留，持久，保护，继续
en,与,和（连接主语）
kalama,声音,声音，噪音，发出声音
kulupu,团,团体，社区，社会
lape,眠,睡眠，休息
mute,多,许多，更多，数量，很
ni,其,这个，那个
pakala,崩,打破，错误，（通用脏话）
seli,火,火，热，温暖，化学反应

kepeken,用,使用，利用
lon,于,在，于，真实的，存在
sama,同,同样，相似，像，兄弟姐妹
tan,由,来自，因为，原因
tawa,向往,向，为了，移动，从……角度看

sewi,上天,上方，天空，神圣的
noka,足,脚，腿，底部，下方
poka,边,臀部，侧面，旁边，附近
monsi,后,背部，后面，后部，屁股
sinpin,垣,脸，前面，正面，墙壁

a,丫,（表达情感的感叹词）
anu,或,或
mu,叫,（任何动物的叫声）
o,乎请,（呼唤他人，命令）
seme,何,什么？（用于提问）

kute,听,听，听到，服从，耳朵
nimi,名,字词，名字
lawa,首头,头，控制，拥有，统治，主要
anpa,下,低微的，谦卑的，依赖的，征服/打败，屈服
insa,内,里面，内容，中心，胃部

kule,色,颜色，多彩的
jelo,黄,黄色（及其色调）
laso,蓝兰,蓝色，绿色（及其色调）
loje,红丹,红色（及其色调）
pimeja,黑,黑色，深色
walo,白,白色，淺色
nasa,狂,不寻常的，奇怪的，傻瓜的，醉的
jaki,丑,脏的，恶心的，有毒的
moli,亡,死亡，垂死
unpa,性,性交，性行为

pi,之,"“的”（重组形容词/副词）"""
la,然,"“如果/当”（引入语境）"""
luka,手五,手，臂
linja,丝,软的条状物，绳子，线，头发
palisa,笞,坚硬的条状物，树枝，棍子
selo,皮,外层，壳，皮肤，边界
sijelo,体,身体，物理状态，躯干
len,衣,布料，衣服，隐私层
lete,冰,冷，生的（不成熟的）
musi,乐,娱乐，艺术，有趣，游戏

kama,来至到,来，未来，事件
ken,可能,可以，能力，可能性
open,开,开始，打开
pini,闭,结束，完成，关闭
sona,知,知识，了解（如何）
wile,欲,想要，需要，渴望

lupa,孔,洞，门，窗
nasin,道,路径，道路，指示，方法
nena,山,山，按钮，凸块，鼻子
tenpo,辰,时间，时刻

wan,一,一，（某物的）部分，联合的
tu,二,二，分割，被分割
sike,年轮,圆形，球体，年份
mani,币,钱，大型驯养动物
esun,市,贸易，市场，商店，交易
mun,月,月亮，星星，夜空中的物体
nanpa,数,数字，（序数指示詞）
poki,皿,盒子，容器，碗，杯子，抽屉
sin,新,新的，额外的，新鲜的，多余的
suno,日,太阳，光，明亮，闪耀

akesi,虺,“不可爱的”动物（此意思不再受广泛使用），蜥蜴，两栖动物
alasa,猎,狩猎，采集，寻找，试图（做某事）
kon,空,空气，本质，精神，短暂的
pan,米面,面包，谷物，玉米，大米，披萨
pilin,心,心，感觉，触摸，感知
pu,经,官方 toki pona 书籍，与之互动
supa,案,水平表面
taso,但惟,但是，然而，只有
uta,口,嘴，嘴唇
weka,离去,欠缺，离开，移除

namako,益,香料，额外
kin,亦也,也，也是
oko,目,眼睛
kipisi,切,切割，分割
leko,方,正方形，方块，（楼梯）
monsuta,鬼,恐惧，怪物，可怕的
misikeke,医,药品，治疗
tonsi,佚,非二元性别，性别不确定，（跨性别）
jasima,反,镜子，反射，反转，对立
soko,菌,蘑菇，真菌
meso,中,平均，中等，中间
epiku,威,史诗级的，令人敬畏的
kokosila,谔,在toki pona群组中不使用toki pona进行交流
lanpan,拿,抓取，偷窃，得到
n,嗯,嗯…，呃…
kijetesantakalu,獾,浣熊或其他獾科动物
ku,典,（与之互动）《Toki Pona辞典》
