道本语,正字,释义-toki_ante专用标识
丫,a,啊、嗯、唔
虺,akesi,爬虫类
非,ala,无、不、非
猎,alasa,打猎、寻找
凣,ale,所有的、一百
凡,ali,每件事
下,anpa,地、深、低、打败
异,ante,不同、其它
或,anu,或
待,awen,持续、等待、继续
,,
把,e,【主语 li 动词 e 受词】（直接宾语标记）
与,en,和、与
市,esun,市场、商店
,,
什,ijo,一些事、任何事、事、材料
歹,ike,坏的、恶的、复杂的、费解的
具,ilo,工具、仪器、装置
内,insa,里面、内部、肚子
,,
丑,jaki,脏的、丑的、有害的
人,jan,人
黄,jelo,黄色
有,jo,有、所有权
,,
鱼,kala,鱼、水生动物
声,kalama,声音、噪音、背诵
至,kama,来、发生、引起、导致
木,kasi,植物
可,ken,能、可以、有可能
用,kepeken,用、以、和
果,kili,蔬菜、水果
亦,kin,也
石,kiwen,硬的、固体、石头
膏,ko,胶水、粘性物质
空,kon,空气、风气流
色,kule,颜色
团,kulupu,团队、组合、居民、区域
听,kute,耳朵、聆听、遵守
,,
然,la,当 【情境 la 主词】
眠,lape,睡觉
兰,laso,蓝色
首,lawa,主要的、知道的、头
衣,len,衣服、覆盖
冰,lete,冷、冻
,,
者,li,【主语 li 谓语】（谓语标记）
小,lili,小的
丝,linja,线、丝、头发
页,lipu,纸、页、票、单
丹,loje,红色
于,lon,在
手,luka,五、手、臂
见,lukin,看、视力、视野
孔,lupa,洞、孔、口、嘴、窗、门
,,
地,ma,土地、地球、国家
亲,mama,父母
币,mani,钱、货币、流传、传播
吾,mi,我
男,mije,男性、雄性
女,meli,女性、雌性
食,moku,吃、喝、食物
亡,moli,死、杀、死的
后,monsi,背后、背部、后面
叫,mu,动物的叫声
月,mun,月亮
乐,musi,娱乐、找乐子、游戏
多,mute,复数、很多的
,,
数,nanpa,数、数量、号码、
狂,nasa,疯的、蠢的、离奇的
道,nasin,路、方法、教条、声明
其,ni,这个、那个
名,nimi,名字、世界
山,nena,山丘、山、底部、鼻子
足,noka,腿、脚
,,
乎,o,（呼格或祈使语气）
目,oko,眼睛
爱,olin,深爱
他,ona,他、她、它
开,open,打开、开始、开工
,,
崩,pakala,破坏、毁坏、意外
作,pali,做、造、工作、活动
笞,palisa,棍棒、杆子、鞭子、惩罚
米,pan,粮食、谷物；面包、面食
出,pana,给、借、释放、放行
之,pi,【主词 pi 主修饰 修饰】（修饰片语标记）
虫,pipi,虫子
心,pilin,感觉、情绪、心脏
黑,pimeja,黑色
,,
闭,pini,关闭、结束、停止
边,poka,旁边、侧面、面、附近
皿,poki,容器、碗、玻璃、杯、盒子
良,pona,好的、简单的、有用的
,,
同,sama,一样
火,seli,暖的、热的
皮,selo,皮肤、表面
何,seme,什么、哪？
上,sewi,高的、优良的、天
体,sijelo,身体
轮,sike,圆、球、环、轮、年
新,sin,新、另一个、更多
尔,sina,你
垣,sinpin,墙、胸
书,sitelen,画、图、绘、写
知,sona,知道、智慧
兽,soweli,哺乳动物
大,suli,大、高、长、重要
案,supa,横向平面、平台、家具、桌子、椅子
甘,suwi,甜、可爱、糖
日,suno,太阳、光
,,
由,tan,引起、导致、理由，来自
惟,taso,但是、仅仅、只
向,tawa,去、移动、为了
水,telo,水、液体
辰,tenpo,时间
言,toki,嘿、语言、说、讲
室,tomo,房子、建筑
二,tu,二、分开、分割
,,
性,unpa,性别、性感
口,uta,嘴巴
斗,utala,战争、战役、打架
,,
白,walo,白色
一,wan,一、合并、联合、团结
鸟,waso,鸟，有翅膀的动物
力,wawa,壮、强烈、活力、精力
去,weka,离开、移动、除去
欲,wile,需要，欲望
,,
拿,lanpan,拿、抓、抢、偷
中,meso,平均、中间的
嗯,n,嗯
