a,🅰️
akesi,🦎
ala,❌
alasa,🏹
ale,🌌
anpa,🧎
ante,🔀
anu,🤷
awen,⚓
e,⏩
en,🤝
esun,🛒
ijo,🐚
ike,👎
ilo,🔦
insa,🗳️
jaki,💩
jan,🧑
jelo,🍋
jo,👜
kala,🐟
kalama,👏
kama,🛬
kasi,🌱
ken,💪
kepeken,✍️
kili,🍎
kiwen,💎
ko,🍦
kon,💨
kule,🌈
kulupu,👥
kute,👂
la,ℹ️
lape,😴
laso,☘️
lawa,👑
len,🧣
lete,❄️
li,▶️
lili,🐁
linja,🧶
lipu,🍁
loje,👅
lon,⏺️
luka,🖐️
lukin,👀
lupa,🚪
ma,🏝️
mama,🍼
mani,🐮
meli,👩
mi,👇
mije,👨
moku,🍜
moli,💀
monsi,🍑
mu,🐽
mun,🌙
musi,🎭
mute,👐
nanpa,#️⃣
nasa,🌀
nasin,🛤️
nena,🗻
ni,↗️
nimi,📛
noka,🦵
o,🅾️
olin,💌
ona,👈
open,🎬
pakala,💥
pali,🏗️
palisa,📏
pan,🍞
pana,🙌
pi,📎
pilin,❤️
pimeja,🎱
pini,🏁,🛑
pipi,🐛
poka,👯
poki,📦
pona,👍
pu,🧘
sama,⚖️
seli,🔥
selo,🍌
seme,❓
sewi,☁️
sijelo,🧍
sike,⭕
sin,✨
sina,👆,
sinpin,🗿
sitelen,🖼️
sona,🧠
soweli,🦔
suli,🐘
suno,☀️
supa,🛏️
suwi,🍬
tan,↩️
taso,🚦
tawa,🛫
telo,💧
tenpo,🕒
toki,💬
tomo,🏠
tu,⏸️
unpa,🍆
uta,👄
utala,⚔️
walo,🐑
wan,1️⃣
waso,🐦
wawa,⚡
weka,🆑
wile,🙏
epiku,😁
jasima,🪞,🪩
kijetesantakalu,🦝
kin,*️⃣
kipisi,✂️
kokosila,🐊
ku,🔬
lanpan,🤳
leko,🧱
meso,😑
misikeke,💊
monsuta,👻
n,🆖
namako,🌶️
oko,👁️
soko,🍄
tonsi,⚧️
